name,reviews,price,delivery,labels
Lavendel (Lavandula angustifolia 'Hidcote'),0,1.15,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Grootbladige Klimop (Hedera hibernica),0,3.1,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Kruipphlox (Phlox douglasii 'Red Admiral'),0,2.15,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Ooievaarsbek (Geranium cantabrigiense 'Biokovo'),0,1.9,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
IJzerhard (Verbena bonariensis 'Lollipop'),0,2.5,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Pioenroos (Paeonia (LD) 'Sarah Bernhardt'),1,3.99,Alleen in de winkels indien voorradig,3 VOOR 9.99
Kleine maagd enpalm (Vinca minor),0,1.15,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Rode Zonnehoed (Echinacea purpurea 'Magnus'),0,1.5,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Toscaanse Jasmijn (Trachelospermum jasminoides),3,22.25,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Laurierkers (Prunus laurocerasus 'Rotundifolia'),0,8.5,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Zwenkgras (Festuca glauca 'Elijah Blue'),0,1.65,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Lavendel (Lavandula angustifolia 'Dwarf Blue'),0,1.4,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Dikkemanskruid (Pachysandra terminalis),0,1.4,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Witte Lavendel (Lavandula angustifolia 'Edelweiss'),0,1.5,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Grootbladige Klimop (Hedera hibernica),0,1.25,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Grootbladige Klimop (Hedera hibernica) H 125-150 cm,0,5.75,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Zegge (Carex morrowii 'Ice Dance'),0,1.75,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Lampepoetsersgras (Pennisetum alopecuroides 'Hameln'),0,5.15,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Lampepoetsersgras (Pennisetum 'Red Head'),0,6.4,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Toscaanse Jasmijn (Trachelospermum jasminoides),1,15.0,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Vijg (Ficus carica),4,19.99,Alleen in de winkels indien voorradig,ACTIE
Grootbladige Klimop (Hedera hibernica) H 150-175 cm,0,7.95,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Portugese Laurier (Prunus lusitanica 'Angustifolia') H 30-40 cm,0,6.0,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Grootbladige Klimop (Hedera hibernica) H 100-125 cm,0,4.5,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Ooievaarsbek (Geranium 'Johnson's Blue') D 9 H 10 cm,0,1.9,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Ooievaarsbek (Geranium macrorrhizum) D 9 H 10 cm,0,1.9,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Lampepoetsersgras (Pennisetum 'Red Head') D 17 H 15 cm,0,6.4,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Leliegras (Liriope muscari 'Moneymaker') D 13 H 10 cm,0,7.25,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Grootbladige Klimop (Hedera hibernica) D 9 H 10 cm,0,1.25,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Scheefbloem (Iberis sempervirens 'Schneeflocke') D 9 H 10 cm,0,1.75,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Fijnstraal (Erigeron karvinskianus) D 9 H 10 cm,0,1.75,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Lievevrouwebedstro (Galium odoratum) D 9 H 10 cm,0,1.75,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Siersalie (Salvia nemorosa 'Schneehugel') D 9 H 10 cm,0,1.75,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Zeekruid (Saponaria ocymoides) D 9 H 10 cm,0,1.5,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Duizendknoop (Persicaria affinis 'Kabouter') D 9 H 10 cm,0,1.5,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Dropplant (Agastache 'Black Adder') D 9 H 10 cm,1,1.95,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Hartlelie (Hosta 'Halcyon') D 9 H 10 cm,0,2.4,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Vrouwenmantel (Alchemilla mollis) D 9 H 10 cm,1,1.25,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Ligusterhaag (Ligustrum ovalifolium) H 100-125 cm,0,10.0,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Toscaanse Jasmijn (Trachelospermum jasminoides) 125-150 cm,1,15.0,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Beukenhaag in pot (Fagus sylvatica) H 60-80 cm,0,3.95,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Amerikaanse sering (Ceanothus thyrsiflorus 'Repens') H 25-30 cm,0,6.65,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
"Struikheide (Calluna vulgaris) D 10,5 H 15 cm",0,2.0,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Stekelnootje (Acaena microphylla 'Kupferteppich') D 9 H 10 cm,0,1.65,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Toscaanse Jasmijn (Trachelospermum jasminoides) 100-125 cm,1,11.5,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Vlinderstruik (Buddleja davidii 'Black Knight') H 30-40 cm,0,5.0,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Hortensia (Hydrangea macrophylla) roze D 17 H 30 cm,0,7.99,Alleen in de winkels indien voorradig,3 VOOR 17.50
Lampenpoetser (Liatris spicata 'Floristan Violett') D 9 H 10 cm,2,2.29,Alleen in de winkels indien voorradig,5 VOOR 9.99
Pluimspirea (Astilbe arendsii 'Fanal') D 11 H 60 cm,0,3.99,Alleen in de winkels indien voorradig,3 VOOR 9.99
Duizendschoon (Dianthus barbatus) D 11 H 40 cm,0,3.99,Alleen in de winkels indien voorradig,3 VOOR 9.99
Klokjesbloem (Campanula portenschlagiana) D 11 H 15 cm,0,3.99,Alleen in de winkels indien voorradig,3 VOOR 9.99
Engels gras (Armeria pseudarmenia 'Ballerina White') D 11 H 15 cm,0,3.99,Alleen in de winkels indien voorradig,3 VOOR 9.99
Zegge (Carex foliosissima 'Irish Green') D 9 H 10 cm,0,1.75,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Zonnehoed (Rudbeckia fulgida 'Goldsturm') D 9 H 10 cm,0,1.4,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Grote maagdenpalm (Vinca major) D 9 H 10 cm,1,1.15,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Maagdenpalm (Vinca minor 'Atropurpurea') D 9 H 10 cm,1,1.25,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Japanse Hulst (Ilex crenata 'Dark Green') H 20-30 cm,0,5.4,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Dikkemanskruid (Pachysandra terminalis 'Green Sheen') D 9 H 10 cm,0,1.55,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Rose Lavendel (Lavandula angustifolia 'Rosea') D 9 H 10 cm,0,1.55,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Sedumplus Sedumtegel 30 x 30 cm,3,11.99,Binnen 1-3 werkdagen bezorgd,
Dovenetel (Lamium maculatum 'Roseum') D 9 H 10 cm,0,1.75,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Pluimhortensia (Hydrangea paniculata 'Pinky Winky') D 17 H 25 cm,0,8.75,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Zonnekruid (Helenium 'Moerheim Beauty') D 9 H 10 cm,0,2.15,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Kattekruid (Nepeta 'Walker's Low') D 9 H 10 cm,0,1.65,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Duizendknoop (Persicaria affinis 'Derjeeling Red') D 9 H 10 cm,0,1.75,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Chinees riet (Miscanthus sinensis 'Gracillimus') D 9 H 20 cm,0,2.75,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Vedergras (Stipa tenuissima 'Ponytails') D 9 H 10 cm,0,1.25,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Toscaanse Jasmijn (Trachelospermum jasminoides) 150-175 cm,0,20.0,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
Herfstanemoon (Anemone 'Honorine Jobert') D 9 H 10 cm,0,1.9,Binnen 2 weken bezorgd,ALLEEN ONLINE;VOLUMEKORTING
