"Scientific Name","Common Name","Other Common Names","Growth Form","Ecoregion III","Ecoregion IV","Min Height","Max Height","Min Spread","Max Spread","Leaf Retention","Lifespan","Soil","Light","Water","Native Habitat","Bloom Season","Bloom Color","Seasonal Interest","Wildlife Benefit","Maintenence","Comments","References"
"Abronia ameliae","Heart's Delight","Amelia's Sand-verbena","[""Herbaceous""]","Gulf Coast Prairies and Marshes, Southern Texas Plains",", , , , , Coastal Sand Plain, , Rio Grande Floodplain and Terraces,Texas-Tamaulipan Thornscrub, , , ","1","1.5","0.5","1","Deciduous","Perennial","Sand, Deep, Well Drained, Dry","Sun, Part Shade","Low, Medium","[""Grassland"",""Woodland""]","Spring","Pink, Purple","Nectar, Pollen","Butterflies, Nectar Insects, Moths","A short-lived perennial. Abronias do not transplant well. They are drought tolerant, requiring good drainage to avoid rotting. Native habitat: dry prairies and open woodlands.  Propagation: seed.","Blooms January-June. Stems are coarse and hairy, sometimes sprawling. Plants are sticky all over. Leaves are oval and wavy on the edges. The pink to purple flowers grow in round clusters and are very aromatic. When the flower goes to seed it looks like a cushion filled with pins. The fruit is called an accessory: contains tissue not from the ovary but from adjacent plant tissue.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=ABAM2  3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=15336&locationType=County&mapType=Normal. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Abronia+ameliae&formsubmit=Search+Terms 5) Wasowski, Sally and Wasowski, Andy, Native Texas Plants, Landscaping Region by Region, 1988, 1991, pg 175. 6) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 52.  7) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=19552#null, 8) https://en.hortipedia.com/Abronia_ameliae, 9) https://davesgarden.com/guides/pf/go/73434"
"Abronia ameliae","Heart's Delight","Amelia's Sand-verbena","[""Herbaceous""]","Gulf Coast Prairies and Marshes, Southern Texas Plains",", , , , , Coastal Sand Plain, , Rio Grande Floodplain and Terraces,Texas-Tamaulipan Thornscrub, , , ","1","1.5","0.5","1","Deciduous","Perennial","Sand, Deep, Well Drained, Dry","Sun, Part Shade","Low, Medium","[""Grassland"",""Woodland""]","Spring","Pink, Purple","Nectar, Pollen","Butterflies, Nectar Insects, Moths","A short-lived perennial. Abronias do not transplant well. They are drought tolerant, requiring good drainage to avoid rotting. Native habitat: dry prairies and open woodlands.  Propagation: seed.","Blooms January-June. Stems are coarse and hairy, sometimes sprawling. Plants are sticky all over. Leaves are oval and wavy on the edges. The pink to purple flowers grow in round clusters and are very aromatic. When the flower goes to seed it looks like a cushion filled with pins. The fruit is called an accessory: contains tissue not from the ovary but from adjacent plant tissue.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=ABAM2  3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=15336&locationType=County&mapType=Normal. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Abronia+ameliae&formsubmit=Search+Terms 5) Wasowski, Sally and Wasowski, Andy, Native Texas Plants, Landscaping Region by Region, 1988, 1991, pg 175. 6) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 52.  7) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=19552#null, 8) https://en.hortipedia.com/Abronia_ameliae, 9) https://davesgarden.com/guides/pf/go/73434"
"Abronia ameliae","Heart's Delight","Amelia's Sand-verbena","[""Herbaceous""]","Gulf Coast Prairies and Marshes, Southern Texas Plains",", , , , , Coastal Sand Plain, , Rio Grande Floodplain and Terraces,Texas-Tamaulipan Thornscrub, , , ","1","1.5","0.5","1","Deciduous","Perennial","Sand, Deep, Well Drained, Dry","Sun, Part Shade","Low, Medium","[""Grassland"",""Woodland""]","Spring","Pink, Purple","Nectar, Pollen","Butterflies, Nectar Insects, Moths","A short-lived perennial. Abronias do not transplant well. They are drought tolerant, requiring good drainage to avoid rotting. Native habitat: dry prairies and open woodlands.  Propagation: seed.","Blooms January-June. Stems are coarse and hairy, sometimes sprawling. Plants are sticky all over. Leaves are oval and wavy on the edges. The pink to purple flowers grow in round clusters and are very aromatic. When the flower goes to seed it looks like a cushion filled with pins. The fruit is called an accessory: contains tissue not from the ovary but from adjacent plant tissue.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=ABAM2  3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=15336&locationType=County&mapType=Normal. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Abronia+ameliae&formsubmit=Search+Terms 5) Wasowski, Sally and Wasowski, Andy, Native Texas Plants, Landscaping Region by Region, 1988, 1991, pg 175. 6) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 52.  7) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=19552#null, 8) https://en.hortipedia.com/Abronia_ameliae, 9) https://davesgarden.com/guides/pf/go/73434"
"Acacia angustissima","Prairie Acacia","White Ball Acacia, Fern Acacia, Whiteball Acacia, Prairie Wattle, White-ball Acacia","[""Herbaceous"",""Shrub""]","Central Great Plains, Chihuahuan Deserts, Cross Timbers, East Central Texas Plains, Edwards Plateau, Gulf Coast Prairies and Marshes, Southern Texas Plains, Southwestern Tablelands, Texas Blackland Prairies, Western Gulf Coastal Plain","Broken Red Plains,Limestone Plains,Red Prairie, Chihuahuan Desert Grasslands,Chihuahuan Montane Woodlands,Low Mountains and Bajadas,Stockton Plateau, Carbonate Cross Timbers,Eastern Cross Timbers,Grand Prairie,Limestone Cut Plain,Western Cross Timbers, Bastrop Lost Pines,Floodplains and Low Terraces2,Northern Post Oak Savanna,Northern Prairie Outliers,San Antonio Prairie,Southern Post Oak Savanna, Balcones Canyonlands,Edwards Plateau Woodland,Llano Uplift,Semiarid Edwards Plateau, Coastal Sand Plain,Floodplains and Low Terraces4,Laguna Madre Barrier Island and Coastal Marshes,Mid-Coast Barrier Islands and Coastal Marshes,Northern Humid Gulf Coastal Prairies,Southern Subhumid Gulf Coastal Prairies,Texas-Louisiana Coastal Marshes, , Northern Nueces Alluvial Plains,Rio Grande Floodplain and Terraces,Semiarid Edwards Bajada,Texas-Tamaulipan Thornscrub, Caprock Canyons Badlands Breaks,Flat Tablelands and Valleys, Floodplains and Low Terraces1,Northern Blackland Prairie,Southern Blackland Prairie, Flatwoods,Floodplains and Low Terraces3,Pleistocene Fluvial Terraces,Red River Bottomlands,Southern Tertiary Uplands,Tertiary Uplands","1","3","1.5","2","Deciduous","Perennial","Sand, Loam, Clay, Gravelly, Caliche, Well Drained, Dry","Sun, Part Shade","Low","[""Grassland""]","Summer, Fall","White","Seeds, Nectar, Larval Host","Butterflies, Birds, Small Mammals, Nectar Insects, Moths, Bees","Drought Tolerant. Colonizes by rhizomes, and is good as a ground cover, for erosion control, and prairie restoration. It is similar in appearance to Illinois Bundleflower. Plant on north or east slope, but can also take full sun on a south slope with some supplemental water. Unlike most shrubs it will go dormant or die to the ground in winter, but grows back quickly in spring. In frost-free zones this plant can become a tall shrub. Trim dead foliage before spring growth. Plants not common in nurseries but seeds are commercially available. Propagation: seed, semi-hardwood cutting.","Blooms June-September. A mounding, thornless acacia. Fine, feathery compound foliage, that closes at night, is its most attractive feature. Produces cream-colored round clusters of flowers. The fruit is a legume pod. This plant is unusual in that some sources list it as herbaceous and others as a woody shrub. It can have a woody base, but herbaceous stems and leaves. Larval host: Sphingicampa raspa Moth.

","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas, 2) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Acaciella+angustissima&formsubmit=Search+Terms. 3) https://www.wildflower.org/plants/result.php?id_plant=ACAN11. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=10283&locationType=County&mapType=Normal. 5) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg 96. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=26418#null, 7) https://www.spadefootnursery.com/fagaceae-acaciella-angustissima?rq=acacia%20angustissima, 8) https://garden.org/plants/view/79647/Timbre-Acaciella-angustissima/, 9) https://southwestdesertflora.com/WebsiteFolders/All_Species/Fabaceae/Acaciella%20angustissima,%20White-ball%20Acacia.html, 10) https://cales.arizona.edu/yavapaiplants/SpeciesDetailForb.php?genus=Acaciella&species=angustissima, 11) chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://plants.usda.gov/DocumentLibrary/factsheet/pdf/fs_acan.pdf"
"Acacia angustissima","Prairie Acacia","White Ball Acacia, Fern Acacia, Whiteball Acacia, Prairie Wattle, White-ball Acacia","[""Herbaceous"",""Shrub""]","Central Great Plains, Chihuahuan Deserts, Cross Timbers, East Central Texas Plains, Edwards Plateau, Gulf Coast Prairies and Marshes, Southern Texas Plains, Southwestern Tablelands, Texas Blackland Prairies, Western Gulf Coastal Plain","Broken Red Plains,Limestone Plains,Red Prairie, Chihuahuan Desert Grasslands,Chihuahuan Montane Woodlands,Low Mountains and Bajadas,Stockton Plateau, Carbonate Cross Timbers,Eastern Cross Timbers,Grand Prairie,Limestone Cut Plain,Western Cross Timbers, Bastrop Lost Pines,Floodplains and Low Terraces2,Northern Post Oak Savanna,Northern Prairie Outliers,San Antonio Prairie,Southern Post Oak Savanna, Balcones Canyonlands,Edwards Plateau Woodland,Llano Uplift,Semiarid Edwards Plateau, Coastal Sand Plain,Floodplains and Low Terraces4,Laguna Madre Barrier Island and Coastal Marshes,Mid-Coast Barrier Islands and Coastal Marshes,Northern Humid Gulf Coastal Prairies,Southern Subhumid Gulf Coastal Prairies,Texas-Louisiana Coastal Marshes, , Northern Nueces Alluvial Plains,Rio Grande Floodplain and Terraces,Semiarid Edwards Bajada,Texas-Tamaulipan Thornscrub, Caprock Canyons Badlands Breaks,Flat Tablelands and Valleys, Floodplains and Low Terraces1,Northern Blackland Prairie,Southern Blackland Prairie, Flatwoods,Floodplains and Low Terraces3,Pleistocene Fluvial Terraces,Red River Bottomlands,Southern Tertiary Uplands,Tertiary Uplands","1","3","1.5","2","Deciduous","Perennial","Sand, Loam, Clay, Gravelly, Caliche, Well Drained, Dry","Sun, Part Shade","Low","[""Grassland""]","Summer, Fall","White","Seeds, Nectar, Larval Host","Butterflies, Birds, Small Mammals, Nectar Insects, Moths, Bees","Drought Tolerant. Colonizes by rhizomes, and is good as a ground cover, for erosion control, and prairie restoration. It is similar in appearance to Illinois Bundleflower. Plant on north or east slope, but can also take full sun on a south slope with some supplemental water. Unlike most shrubs it will go dormant or die to the ground in winter, but grows back quickly in spring. In frost-free zones this plant can become a tall shrub. Trim dead foliage before spring growth. Plants not common in nurseries but seeds are commercially available. Propagation: seed, semi-hardwood cutting.","Blooms June-September. A mounding, thornless acacia. Fine, feathery compound foliage, that closes at night, is its most attractive feature. Produces cream-colored round clusters of flowers. The fruit is a legume pod. This plant is unusual in that some sources list it as herbaceous and others as a woody shrub. It can have a woody base, but herbaceous stems and leaves. Larval host: Sphingicampa raspa Moth.

","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas, 2) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Acaciella+angustissima&formsubmit=Search+Terms. 3) https://www.wildflower.org/plants/result.php?id_plant=ACAN11. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=10283&locationType=County&mapType=Normal. 5) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg 96. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=26418#null, 7) https://www.spadefootnursery.com/fagaceae-acaciella-angustissima?rq=acacia%20angustissima, 8) https://garden.org/plants/view/79647/Timbre-Acaciella-angustissima/, 9) https://southwestdesertflora.com/WebsiteFolders/All_Species/Fabaceae/Acaciella%20angustissima,%20White-ball%20Acacia.html, 10) https://cales.arizona.edu/yavapaiplants/SpeciesDetailForb.php?genus=Acaciella&species=angustissima, 11) chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://plants.usda.gov/DocumentLibrary/factsheet/pdf/fs_acan.pdf"
"Acacia angustissima","Prairie Acacia","White Ball Acacia, Fern Acacia, Whiteball Acacia, Prairie Wattle, White-ball Acacia","[""Herbaceous"",""Shrub""]","Central Great Plains, Chihuahuan Deserts, Cross Timbers, East Central Texas Plains, Edwards Plateau, Gulf Coast Prairies and Marshes, Southern Texas Plains, Southwestern Tablelands, Texas Blackland Prairies, Western Gulf Coastal Plain","Broken Red Plains,Limestone Plains,Red Prairie, Chihuahuan Desert Grasslands,Chihuahuan Montane Woodlands,Low Mountains and Bajadas,Stockton Plateau, Carbonate Cross Timbers,Eastern Cross Timbers,Grand Prairie,Limestone Cut Plain,Western Cross Timbers, Bastrop Lost Pines,Floodplains and Low Terraces2,Northern Post Oak Savanna,Northern Prairie Outliers,San Antonio Prairie,Southern Post Oak Savanna, Balcones Canyonlands,Edwards Plateau Woodland,Llano Uplift,Semiarid Edwards Plateau, Coastal Sand Plain,Floodplains and Low Terraces4,Laguna Madre Barrier Island and Coastal Marshes,Mid-Coast Barrier Islands and Coastal Marshes,Northern Humid Gulf Coastal Prairies,Southern Subhumid Gulf Coastal Prairies,Texas-Louisiana Coastal Marshes, , Northern Nueces Alluvial Plains,Rio Grande Floodplain and Terraces,Semiarid Edwards Bajada,Texas-Tamaulipan Thornscrub, Caprock Canyons Badlands Breaks,Flat Tablelands and Valleys, Floodplains and Low Terraces1,Northern Blackland Prairie,Southern Blackland Prairie, Flatwoods,Floodplains and Low Terraces3,Pleistocene Fluvial Terraces,Red River Bottomlands,Southern Tertiary Uplands,Tertiary Uplands","1","3","1.5","2","Deciduous","Perennial","Sand, Loam, Clay, Gravelly, Caliche, Well Drained, Dry","Sun, Part Shade","Low","[""Grassland""]","Summer, Fall","White","Seeds, Nectar, Larval Host","Butterflies, Birds, Small Mammals, Nectar Insects, Moths, Bees","Drought Tolerant. Colonizes by rhizomes, and is good as a ground cover, for erosion control, and prairie restoration. It is similar in appearance to Illinois Bundleflower. Plant on north or east slope, but can also take full sun on a south slope with some supplemental water. Unlike most shrubs it will go dormant or die to the ground in winter, but grows back quickly in spring. In frost-free zones this plant can become a tall shrub. Trim dead foliage before spring growth. Plants not common in nurseries but seeds are commercially available. Propagation: seed, semi-hardwood cutting.","Blooms June-September. A mounding, thornless acacia. Fine, feathery compound foliage, that closes at night, is its most attractive feature. Produces cream-colored round clusters of flowers. The fruit is a legume pod. This plant is unusual in that some sources list it as herbaceous and others as a woody shrub. It can have a woody base, but herbaceous stems and leaves. Larval host: Sphingicampa raspa Moth.

","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas, 2) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Acaciella+angustissima&formsubmit=Search+Terms. 3) https://www.wildflower.org/plants/result.php?id_plant=ACAN11. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=10283&locationType=County&mapType=Normal. 5) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg 96. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=26418#null, 7) https://www.spadefootnursery.com/fagaceae-acaciella-angustissima?rq=acacia%20angustissima, 8) https://garden.org/plants/view/79647/Timbre-Acaciella-angustissima/, 9) https://southwestdesertflora.com/WebsiteFolders/All_Species/Fabaceae/Acaciella%20angustissima,%20White-ball%20Acacia.html, 10) https://cales.arizona.edu/yavapaiplants/SpeciesDetailForb.php?genus=Acaciella&species=angustissima, 11) chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://plants.usda.gov/DocumentLibrary/factsheet/pdf/fs_acan.pdf"
"Acer floridanum","Southern Sugar Maple","Caddo Maple, Florida Maple, Rock Maple","[""Tree""]","Western Gulf Coastal Plain",", , , , , , , , , , Flatwoods,Floodplains and Low Terraces3,Pleistocene Fluvial Terraces,Red River Bottomlands,Southern Tertiary Uplands,Tertiary Uplands","20","100","12","60","Deciduous","Perennial","Sand, Loam, Clay, Rich, Well Drained, Moist","Sun, Part Shade","Medium","[""Wetland or Riparian""]","Spring","Yellow, Green","Fall Color, Seeds","Birds, Small Mammals","Moderate to fast growth rate. This small, spreading tree is easy to grow. It is resistant to ice and wind storms. Tolerates drought and occasionally wet soil. Flowers and lawns do not grow well beneath this tree. Use as a specimen, shade tree, street tree or woodland garden. Beautiful yellow to orange colors in the fall. Native habitat: streams and river banks. Propagation: seed.","A smaller southern version of the Sugar Maple. Lobed leaves are green above, paler and fuzzy below. Inconspicuous, small, yellow flowers hang in clusters. Winged fruit called samaras. Although still listed by some in the Aceraceae Family, the majority of botanical organizations now list it in the Sapindaceae Family.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=22729&locationType=County&mapType=Normal. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Acer+floridanum&formsubmit=Search+Terms 4) https://www.wildflower.org/plants/result.php?id_plant=ACFL 5) Wasowski, Sally and Wasowski, Andy, Native Texas Plants, Landscaping Region by Region, 1988, 1991, pg 330.  6) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 7) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=183691#null, 8) https://plants.ces.ncsu.edu/plants/acer-saccharum-subsp-floridanum/"
"Acer grandidentatum","Bigtooth Maple","Big-toothed Maple, Uvalde Bigtooth Maple, Southwestern Bigtooth Maple, Canyon Maple, Sabinal Maple, Western Sugar Maple","[""Tree""]","Chihuahuan Deserts, Cross Timbers, Edwards Plateau",", Chihuahuan Desert Grasslands,Chihuahuan Montane Woodlands,Low Mountains and Bajadas, Limestone Cut Plain, , Balcones Canyonlands, , , , , , ","15","40","10","15","Deciduous","Perennial","Loam, Clay, Calcareous, Moist","Sun","Medium","[""Woodland"",""Wetland or Riparian""]","Spring","Yellow, Green","Fall Color, Seeds, Forage, Nectar, Pollen, Flowers","Browsers, Butterflies, Birds, Small Mammals","Slow growth rate, especially in the first few seasons. Needs well drained soil. Slightly more drought tolerant than eastern maples. A good small landscape tree. Brilliant yellow to red fall color. Benefits from 2″–4″ of mulch over and beyond the root zone. Do not allow mulch to contact tree trunk. Foliage tips may burn in hot summers. Prune only if necessary. Native habitat: moist soils of canyons in mountains and plateaus, in woodlands and riparian zones. Found mostly in the Edwards Plateau and Guadalupe Mountains but available in nurseries in other parts of Texas. May require supplemental watering outside of its native range, but do not overwater. Propagation: seed.","Blooms March-April. The western relative of Sugar Maple. Grows as a large shrub to small tree depending on conditions. Its bark is dark brown and scaly. The three to five lobed leaves are dark green above, with pale fuzz underneath. The scientific name refers to the large toothed leaf. Flowers are small, in hanging clusters, appearing before the leaves. The flowers are wind-pollinated, with variability in sex expression, as each plant may produce both male and female flowers in a single inflorescence or only one of the sexes, depending on environmental factors such as temperature and moisture. The fruit is a winged samara with two large fruits fused in the middle. Although still listed by some in the Aceraceae Family, the majority of botanical organizations now list it in the Sapindaceae Family.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=ACGR3. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Acer+grandidentatum&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=22739&locationType=County&mapType=Normal. 5) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 331. 6) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48., 7) Native and Adapted Landscape Plants, City of Austin and Texas A&M, 2014, 8) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=28760#null, 9) https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=241814, 10) https://extension.usu.edu/rangeplants/shrubs-and-trees/bigtooth-maple#:~:text=Uses%20and%20Management:,source%20of%20sugar%20and%20syrup., 11) https://www.fs.usda.gov/database/feis/plants/tree/acegra/all.html, 12) https://arboretum.arizona.edu/faul-preserve-acer-grandidentatum-bigtooth-maple#:~:text=The%20flowers%20are%20wind%2Dpollinated,characteristic%20of%20maples%20(2)."
"Acer grandidentatum","Bigtooth Maple","Big-toothed Maple, Uvalde Bigtooth Maple, Southwestern Bigtooth Maple, Canyon Maple, Sabinal Maple, Western Sugar Maple","[""Tree""]","Chihuahuan Deserts, Cross Timbers, Edwards Plateau",", Chihuahuan Desert Grasslands,Chihuahuan Montane Woodlands,Low Mountains and Bajadas, Limestone Cut Plain, , Balcones Canyonlands, , , , , , ","15","40","10","15","Deciduous","Perennial","Loam, Clay, Calcareous, Moist","Sun","Medium","[""Woodland"",""Wetland or Riparian""]","Spring","Yellow, Green","Fall Color, Seeds, Forage, Nectar, Pollen, Flowers","Browsers, Butterflies, Birds, Small Mammals","Slow growth rate, especially in the first few seasons. Needs well drained soil. Slightly more drought tolerant than eastern maples. A good small landscape tree. Brilliant yellow to red fall color. Benefits from 2″–4″ of mulch over and beyond the root zone. Do not allow mulch to contact tree trunk. Foliage tips may burn in hot summers. Prune only if necessary. Native habitat: moist soils of canyons in mountains and plateaus, in woodlands and riparian zones. Found mostly in the Edwards Plateau and Guadalupe Mountains but available in nurseries in other parts of Texas. May require supplemental watering outside of its native range, but do not overwater. Propagation: seed.","Blooms March-April. The western relative of Sugar Maple. Grows as a large shrub to small tree depending on conditions. Its bark is dark brown and scaly. The three to five lobed leaves are dark green above, with pale fuzz underneath. The scientific name refers to the large toothed leaf. Flowers are small, in hanging clusters, appearing before the leaves. The flowers are wind-pollinated, with variability in sex expression, as each plant may produce both male and female flowers in a single inflorescence or only one of the sexes, depending on environmental factors such as temperature and moisture. The fruit is a winged samara with two large fruits fused in the middle. Although still listed by some in the Aceraceae Family, the majority of botanical organizations now list it in the Sapindaceae Family.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=ACGR3. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Acer+grandidentatum&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=22739&locationType=County&mapType=Normal. 5) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 331. 6) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48., 7) Native and Adapted Landscape Plants, City of Austin and Texas A&M, 2014, 8) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=28760#null, 9) https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=241814, 10) https://extension.usu.edu/rangeplants/shrubs-and-trees/bigtooth-maple#:~:text=Uses%20and%20Management:,source%20of%20sugar%20and%20syrup., 11) https://www.fs.usda.gov/database/feis/plants/tree/acegra/all.html, 12) https://arboretum.arizona.edu/faul-preserve-acer-grandidentatum-bigtooth-maple#:~:text=The%20flowers%20are%20wind%2Dpollinated,characteristic%20of%20maples%20(2)."
"Acer grandidentatum","Bigtooth Maple","Big-toothed Maple, Uvalde Bigtooth Maple, Southwestern Bigtooth Maple, Canyon Maple, Sabinal Maple, Western Sugar Maple","[""Tree""]","Chihuahuan Deserts, Cross Timbers, Edwards Plateau",", Chihuahuan Desert Grasslands,Chihuahuan Montane Woodlands,Low Mountains and Bajadas, Limestone Cut Plain, , Balcones Canyonlands, , , , , , ","15","40","10","15","Deciduous","Perennial","Loam, Clay, Calcareous, Moist","Sun","Medium","[""Woodland"",""Wetland or Riparian""]","Spring","Yellow, Green","Fall Color, Seeds, Forage, Nectar, Pollen, Flowers","Browsers, Butterflies, Birds, Small Mammals","Slow growth rate, especially in the first few seasons. Needs well drained soil. Slightly more drought tolerant than eastern maples. A good small landscape tree. Brilliant yellow to red fall color. Benefits from 2″–4″ of mulch over and beyond the root zone. Do not allow mulch to contact tree trunk. Foliage tips may burn in hot summers. Prune only if necessary. Native habitat: moist soils of canyons in mountains and plateaus, in woodlands and riparian zones. Found mostly in the Edwards Plateau and Guadalupe Mountains but available in nurseries in other parts of Texas. May require supplemental watering outside of its native range, but do not overwater. Propagation: seed.","Blooms March-April. The western relative of Sugar Maple. Grows as a large shrub to small tree depending on conditions. Its bark is dark brown and scaly. The three to five lobed leaves are dark green above, with pale fuzz underneath. The scientific name refers to the large toothed leaf. Flowers are small, in hanging clusters, appearing before the leaves. The flowers are wind-pollinated, with variability in sex expression, as each plant may produce both male and female flowers in a single inflorescence or only one of the sexes, depending on environmental factors such as temperature and moisture. The fruit is a winged samara with two large fruits fused in the middle. Although still listed by some in the Aceraceae Family, the majority of botanical organizations now list it in the Sapindaceae Family.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=ACGR3. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Acer+grandidentatum&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=22739&locationType=County&mapType=Normal. 5) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 331. 6) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48., 7) Native and Adapted Landscape Plants, City of Austin and Texas A&M, 2014, 8) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=28760#null, 9) https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=241814, 10) https://extension.usu.edu/rangeplants/shrubs-and-trees/bigtooth-maple#:~:text=Uses%20and%20Management:,source%20of%20sugar%20and%20syrup., 11) https://www.fs.usda.gov/database/feis/plants/tree/acegra/all.html, 12) https://arboretum.arizona.edu/faul-preserve-acer-grandidentatum-bigtooth-maple#:~:text=The%20flowers%20are%20wind%2Dpollinated,characteristic%20of%20maples%20(2)."
